Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed | H2AH4SerP_Endo_rep2	0.3509062597620698	41.0	50.27921667840412	18.181818181818183	4702896.0
trimmed | H2AH4SerP_Endo_rep3	0.07227423571558234	41.0	50.41974569903889	18.181818181818183	6753258.0
trimmed | H2AH4SerP_Mesecto_rep2	0.13528641815581466	40.0	50.403111570905615	18.181818181818183	3367688.0
trimmed | H2AH4SerP_Mesecto_rep3	0.1094269721165233	48.0	50.38980258962184	9.090909090909092	1646418.0
trimmed | H2AUb_Endo_rep2	0.07837997637749083	42.0	50.38995603992822	9.090909090909092	8015683.0
trimmed | H2AUb_Endo_rep3	0.16401205948835695	43.0	50.31976969501117	9.090909090909092	8107510.0
trimmed | H2AUb_Mesecto_rep2	0.0855831286981612	43.0	50.40806230774277	9.090909090909092	22637315.0
trimmed | H2AUb_Mesecto_rep3	0.1560481353631218	42.0	50.133711794673324	9.090909090909092	8304503.0
trimmed | H2Ax3_Endo_rep2	0.14610616633237328	42.0	50.09127561982692	9.090909090909092	2437858.0
trimmed | H2Ax3_Endo_rep3	0.19047473480553379	45.0	50.26475726848943	9.090909090909092	8427542.0
trimmed | H2Ax3_Mesecto_rep2	0.1318351898594301	41.0	50.36533768129603	9.090909090909092	17938823.0
trimmed | H2Ax3_Mesecto_rep3	0.576721242680506	50.0	48.88965689542888	9.090909090909092	3226101.0
trimmed | H3K27ac_Endo_rep1	0.03025501744721737	40.0	50.482913446731764	9.090909090909092	17489484.0
trimmed | H3K27ac_Endo_rep2	0.07096896025745991	42.0	50.41719254472561	9.090909090909092	29200052.0
trimmed | H3K27ac_Endo_rep3	0.1528079674947378	43.0	50.35321831947113	18.181818181818183	11366398.0
trimmed | H3K27ac_Mesecto_rep1	0.011729750869221789	40.0	49.96130265313134	0.0	24665722.0
trimmed | H3K27ac_Mesecto_rep2	0.06894141758974115	41.0	50.44030020344552	18.181818181818183	18898917.0
trimmed | H3K27ac_Mesecto_rep3	0.5092584040708203	54.0	48.86298191412771	18.181818181818183	5055880.0
trimmed | H3K27me3_Endo_rep1	0.05860221058424031	44.0	50.48649497028581	9.090909090909092	16358683.0
trimmed | H3K27me3_Endo_rep2	0.049489193348023264	42.0	50.45653915938755	9.090909090909092	4491273.0
trimmed | H3K27me3_Endo_rep3	0.11385825831933971	44.0	50.31904217051322	18.181818181818183	3499412.0
trimmed | H3K27me3_Mesecto_rep1	0.005513082390280033	40.0	49.980203645896424	9.090909090909092	21068728.0
trimmed | H3K27me3_Mesecto_rep2	0.04994919663462838	41.0	50.443742684846804	18.181818181818183	9605062.0
trimmed | H3K27me3_Mesecto_rep3	0.1910745497237798	53.0	50.144649796240394	18.181818181818183	3021698.0
trimmed | H3K36me3_Endo_rep1	0.05471536651647568	43.0	50.48576385829501	9.090909090909092	13619280.0
trimmed | H3K36me3_Endo_rep2	0.030756514532356505	41.0	50.45771038039304	9.090909090909092	13997312.0
trimmed | H3K36me3_Endo_rep3	0.22649509764201525	51.0	50.2398443325277	18.181818181818183	2489152.0
trimmed | H3K36me3_Mesecto_rep1	0.010137720666776318	40.0	49.96259093456256	9.090909090909092	26066409.0
trimmed | H3K36me3_Mesecto_rep2	0.09922035466959755	43.0	50.17975577547962	9.090909090909092	2156704.0
trimmed | H3K36me3_Mesecto_rep3	0.06965315066092614	45.0	50.45445946870087	9.090909090909092	16860069.0
trimmed | H3K4me1_Endo_rep1	0.0056828702278295395	41.0	49.965433268650614	0.0	19594621.0
trimmed | H3K4me1_Mesecto_rep1	0.046309255811763705	42.0	49.849597469802355	9.090909090909092	14589216.0
trimmed | H3K4me2_Endo_rep1	0.00919587919246112	41.0	49.96491326597833	0.0	16880112.0
trimmed | H3K4me2_Mesecto_rep1	0.006177928753686501	40.0	49.959203193753865	0.0	30388065.0
trimmed | H3K4me3_Endo_rep1	0.008520280870527586	42.0	49.96351999888777	0.0	21002768.0
trimmed | H3K4me3_Endo_rep2	0.2677072992416498	45.0	50.242340839898326	9.090909090909092	2423079.0
trimmed | H3K4me3_Endo_rep3	0.3206226344270249	48.0	50.30245001223911	9.090909090909092	7034822.0
trimmed | H3K4me3_Mesecto_rep1	0.015510446000234879	42.0	49.96028024415897	0.0	17621634.0
trimmed | H3K4me3_Mesecto_rep2	0.24620630758937523	46.0	50.10349576199642	9.090909090909092	11845200.0
trimmed | H3K4me3_Mesecto_rep3	0.6534059416358815	49.0	50.04052921309725	18.181818181818183	8557309.0
trimmed | H3K79me3_Endo_rep1	0.07467326548153608	42.0	50.47303024247132	9.090909090909092	11163671.0
trimmed | H3K79me3_Mesecto_rep1	0.00751513731661646	40.0	49.978840965642654	0.0	24819989.0
trimmed | H3K9me3_Endo_rep1	0.017616338454175207	41.0	49.96482874757854	9.090909090909092	17702611.0
trimmed | H3K9me3_Endo_rep2	0.22418021979981972	43.0	50.419892070031395	9.090909090909092	26323736.0
trimmed | H3K9me3_Endo_rep3	0.6960025553156015	48.0	47.96980674160652	18.181818181818183	2952679.0
trimmed | H3K9me3_Mesecto_rep1	0.019248125887955325	41.0	49.91136482332742	0.0	13826339.0
trimmed | H3K9me3_Mesecto_rep2	0.3902981480873251	43.0	50.38730946583785	18.181818181818183	25506712.0
trimmed | H3K9me3_Mesecto_rep3	1.403324198045894	50.0	46.11974045364539	9.090909090909092	3923461.0
trimmed | Input_Endo_rep1	0.04361504173826347	39.0	50.46285817033125	9.090909090909092	19810023.0
trimmed | Input_Endo_rep2	0.0879848693101053	41.0	50.41688771385548	9.090909090909092	20935575.0
trimmed | Input_Endo_rep3	0.06697864141342791	40.0	50.404992797368145	9.090909090909092	24852721.0
trimmed | Input_Mesecto_rep1	0.04258445191570104	39.0	50.487188347754326	9.090909090909092	25190818.0
trimmed | Input_Mesecto_rep2	0.0427189367492673	43.0	47.866912620472775	9.090909090909092	6921896.0
trimmed | Input_Mesecto_rep3	0.11967519481402178	42.0	47.37832550549147	9.090909090909092	4646023.0
untrimmed | H2AH4SerP_Endo_rep2	91.488799353224	43.0	50.09853928354156	36.36363636363637	52621643.0
untrimmed | H2AH4SerP_Endo_rep3	74.12192685645034	43.0	50.47330341391941	18.181818181818183	26437238.0
untrimmed | H2AH4SerP_Mesecto_rep2	81.80051171836078	43.0	50.46928207650538	36.36363636363637	18474963.0
untrimmed | H2AH4SerP_Mesecto_rep3	79.27197304559076	48.0	50.510639196696786	36.36363636363637	8024666.0
untrimmed | H2AUb_Endo_rep2	58.37887824036336	42.0	50.49863386857665	27.27272727272727	19385763.0
untrimmed | H2AUb_Endo_rep3	79.05247895931784	44.0	50.51296545837782	27.27272727272727	39767009.0
untrimmed | H2AUb_Mesecto_rep2	38.67874174632784	44.0	50.483379839071645	9.090909090909092	37311883.0
untrimmed | H2AUb_Mesecto_rep3	73.06236705372505	43.0	50.42797958837292	27.27272727272727	32175191.0
untrimmed | H2Ax3_Endo_rep2	77.16946315394347	41.0	50.50930507068935	18.181818181818183	11046289.0
untrimmed | H2Ax3_Endo_rep3	73.14004285255129	47.0	50.53252634668046	36.36363636363637	32518423.0
untrimmed | H2Ax3_Mesecto_rep2	61.9487111921327	43.0	50.493914961577	27.27272727272727	47556150.0
untrimmed | H2Ax3_Mesecto_rep3	86.41270750201389	50.0	50.49430915797934	27.27272727272727	28594714.0
untrimmed | H3K27ac_Endo_rep1	24.167864621257266	40.0	50.51290734776169	9.090909090909092	22976099.0
untrimmed | H3K27ac_Endo_rep2	39.24008791960192	43.0	50.49075399740284	18.181818181818183	48309742.0
untrimmed | H3K27ac_Endo_rep3	76.70270112912024	43.0	50.496370647473924	18.181818181818183	48675211.0
untrimmed | H3K27ac_Mesecto_rep1	31.293516177844623	41.0	50.0	0.0	39865458.0
untrimmed | H3K27ac_Mesecto_rep2	59.310457851797246	42.0	50.51278875588368	18.181818181818183	46395678.0
untrimmed | H3K27ac_Mesecto_rep3	77.22096475656446	55.0	50.43727434560962	36.36363636363637	26351969.0
untrimmed | H3K27me3_Endo_rep1	56.28322086794142	44.0	50.53583147901429	27.27272727272727	36221293.0
untrimmed | H3K27me3_Endo_rep2	68.59409590109296	42.0	50.515801937283534	18.181818181818183	14036665.0
untrimmed | H3K27me3_Endo_rep3	86.97962216890076	44.0	50.49214227995597	18.181818181818183	26052468.0
untrimmed | H3K27me3_Mesecto_rep1	47.062494069516724	40.0	50.0	9.090909090909092	45916807.0
untrimmed | H3K27me3_Mesecto_rep2	71.4096188051305	41.0	50.5007295751054	18.181818181818183	33428361.0
untrimmed | H3K27me3_Mesecto_rep3	84.8696846315376	53.0	50.48659939849539	27.27272727272727	19519385.0
untrimmed | H3K36me3_Endo_rep1	56.08318290961732	44.0	50.53512117487835	27.27272727272727	30340571.0
untrimmed | H3K36me3_Endo_rep2	41.326468035692876	42.0	50.501379200658164	9.090909090909092	24018260.0
untrimmed | H3K36me3_Endo_rep3	84.59885404085406	52.0	50.58053306377973	27.27272727272727	16009679.0
untrimmed | H3K36me3_Mesecto_rep1	37.265772690077824	41.0	50.0	9.090909090909092	48561007.0
untrimmed | H3K36me3_Mesecto_rep2	71.75679880252017	43.0	50.31387060578166	27.27272727272727	7937959.0
untrimmed | H3K36me3_Mesecto_rep3	61.72350233165439	47.0	50.563260730015195	36.36363636363637	44814848.0
untrimmed | H3K4me1_Endo_rep1	34.653315485941704	41.0	50.0	0.0	33180352.0
untrimmed | H3K4me1_Mesecto_rep1	42.70892060783614	42.0	50.0	9.090909090909092	29902545.0
untrimmed | H3K4me2_Endo_rep1	49.902021337700894	41.0	50.0	0.0	36851522.0
untrimmed | H3K4me2_Mesecto_rep1	33.44549879044267	41.0	50.0	0.0	51649948.0
untrimmed | H3K4me3_Endo_rep1	40.97652823238156	42.0	50.0	0.0	39704287.0
untrimmed | H3K4me3_Endo_rep2	84.44847432015956	45.0	50.543300004323314	36.36363636363637	15867458.0
untrimmed | H3K4me3_Endo_rep3	81.7826062430346	49.0	50.55468131934993	27.27272727272727	39576642.0
untrimmed | H3K4me3_Mesecto_rep1	41.061771259349214	42.0	50.0	0.0	34056987.0
untrimmed | H3K4me3_Mesecto_rep2	80.90403254863918	46.0	50.50209722283268	18.181818181818183	63954339.0
untrimmed | H3K4me3_Mesecto_rep3	90.94685612599979	49.0	50.53619442637865	27.27272727272727	101036537.0
untrimmed | H3K79me3_Endo_rep1	69.85754454948885	43.0	50.55207011471545	36.36363636363637	35295073.0
untrimmed | H3K79me3_Mesecto_rep1	37.88689814618944	41.0	50.0	0.0	44973754.0
untrimmed | H3K9me3_Endo_rep1	49.06568693548843	42.0	50.0	9.090909090909092	39805043.0
untrimmed | H3K9me3_Endo_rep2	53.99991940137774	44.0	50.50515296198299	18.181818181818183	57877780.0
untrimmed | H3K9me3_Endo_rep3	83.36960012513293	49.0	49.9636272262832	36.36363636363637	22339869.0
untrimmed | H3K9me3_Mesecto_rep1	35.96855700111537	41.0	50.0	0.0	25042317.0
untrimmed | H3K9me3_Mesecto_rep2	60.1345684297193	45.0	50.50006143931442	36.36363636363637	64657297.0
untrimmed | H3K9me3_Mesecto_rep3	60.2239136077608	55.0	50.206323470664	36.36363636363637	15036869.0
untrimmed | Input_Endo_rep1	33.00666923963999	39.0	50.49396615553361	9.090909090909092	29458996.0
untrimmed | Input_Endo_rep2	45.75651141469239	42.0	50.50903314559	18.181818181818183	38652593.0
untrimmed | Input_Endo_rep3	40.01034395983398	41.0	50.4882792218048	9.090909090909092	41851402.0
untrimmed | Input_Mesecto_rep1	15.881595763202384	40.0	50.51187701697318	9.090909090909092	29938115.0
untrimmed | Input_Mesecto_rep2	18.882909753297668	48.0	50.50303750621606	18.181818181818183	11255121.0
untrimmed | Input_Mesecto_rep3	60.49875576306342	43.0	50.27935009836468	27.27272727272727	15746506.0
